;title;content;date;author;tags;url;website-domain;region
21806;Giocano a basket nonostante il divieto di assembramenti, denunciati cinque giovani a Lunano;Cinque giovani sono stati denunciati a Lunano nel pomeriggio di mercoledì 11 marzo per non aver rispettato i divieti, contenuti nel cosiddetto decreto “Io resto a casa”, riguardanti la necessità di evitare assembramenti.I ragazzi, tre dei quali minorenni, sono infatti stati sorpresi dai Carabinieri a giocare a basket presso un campetto del posto, nonostante nei giorni precedenti fossero stati redarguiti per dei comportamenti analoghi.I cinque sono dunque stati denunciati per la mancata osservanza del decreto, ai sensi dell’articolo 650 del Codice Penale. Essi dovranno inoltre rispondere dell’accusa di danneggiamento in concorso per aver divelto alcuni cartelli posti all’ingresso dell’impianto sportivo dove sono stati colti in flagranza di reato.;2020-03-12; Marche Notizie;['Decreti'];https://www.pesarourbinonotizie.it/43124/giocano-a-basket-nonostante-il-divieto-di-assembramenti-denunciati-cinque-giovani-a-lunano;www.pesarourbinonotizie.it;['marche']
22184;Aggredisce la moglie a colpi di martello, 70enne tratto in arresto a Vallefoglia;Un 70enne di origini campane è stato arrestato a Vallefoglia nella mattinata di giovedì 12 marzo con l’accusa di tentato omicidio nei confronti della moglie.Il fatto ha avuto luogo intorno alle 7.30 in località Sant’Angelo in Lizzola. Armato di un martello, l’uomo si è avventato contro la coniuge, colpendola più volte alla testa. Egli è stato bloccato dal provvidenziale intervento della nuora e della nipote, che nel tentativo di frapporsi tra marito e moglie sono rimaste lievemente ferite.La vittima dell’aggressione è quindi stata soccorsa dal personale sanitario del 118, che si è occupato del suo trasporto in ospedale: le sue condizioni di salute, fortunatamente, non ne metterebbero a repentaglio la vita. Per il 70enne è invece scattato l‘arresto da parte dei Carabinieri di Montecchio intervenuti sul posto.;2020-03-13; Marche Notizie;['Arresti', 'Vallefoglia', 'Omicidi'];https://www.pesarourbinonotizie.it/43137/aggredisce-la-moglie-a-colpi-di-martello-70enne-tratto-in-arresto-a-vallefoglia;www.pesarourbinonotizie.it;['marche']
24780;Incendio nella notte a Pesaro, evacuata una famiglia dalla propria abitazione;Paura a Pesaro nella notte tra giovedì 19 e venerdì 20 marzo per il violento incendio che si è verificato all’interno di due garage.Il fatto ha avuto luogo presso un edificio situato in via Monte Amiata, nella frazione di Borgo Santa Maria. Il rogo ha avuto origine per cause tuttora sconosciute, devastando le due automobili posteggiate nei rispettivi box e arrivando persino a lambire l’appartamento situato al piano superiore.Sul posto sono così sopraggiunti i Vigili del Fuoco del distaccamento di Pesaro, i quali sono riusciti ad avere la meglio sul rogo limitando i danni ai soli garage e alla suddetta abitazione: i tre locali sono poi stati dichiarati inagibili per via dei danni riportati, costringendo pertanto una famiglia all’evacuazione.;2020-03-20; Marche Notizie;['Incendi', 'Marche', 'Pesaro'];https://www.pesarourbinonotizie.it/43226/incendio-nella-notte-a-pesaro-evacuata-una-famiglia-dalla-propria-abitazione;www.pesarourbinonotizie.it;['marche']
26881;Truffa online da 57.000 euro ai danni di una 53enne di Petriano, rintracciati i responsabili;Dopo attente indagini portate avanti all’incirca per cinque mesi, i Carabinieri di Montecchio sono riusciti a risalire ai responsabili di una truffa da decine di migliaia di euro perpetrata ai danni di una 53enne di Petriano.Nell’ottobre dello scorso anno, infatti, la donna aveva acquistato on-line una moltitudine di elettrodomestici per un importo complessivo di 57.000 euro. Quando la merce era arrivata in Italia dalla Germania, tuttavia, ella si era trovata di fronte dei dispositivi non certo all’altezza di quanto pubblicizzato, alcuni dei quali persino inservibili per via delle loro pessime condizioni.La vittima del raggiro si era immediatamente rivolta alle forze dell’ordine che, al termine di lunghi accertamenti, hanno infine denunciato per truffa in concorso un 35enne marocchino residente a Saronno e una 53enne di nazionalità italiana residente nella provincia di Ancona.;2020-03-10; Marche Notizie;['Truffe', 'Inchieste-investigazioni-indagini', 'Carabinieri'];https://www.pesarourbinonotizie.it/43099/truffa-online-da-57-000-euro-ai-danni-di-una-53enne-di-petriano-rintracciati-i-responsabili;www.pesarourbinonotizie.it;['marche']
27756;Giocano a basket nonostante il divieto di assembramenti, denunciati cinque giovani a Lunano;Cinque giovani sono stati denunciati a Lunano nel pomeriggio di mercoledì 11 marzo per non aver rispettato i divieti, contenuti nel cosiddetto decreto “Io resto a casa”, riguardanti la necessità di evitare assembramenti.I ragazzi, tre dei quali minorenni, sono infatti stati sorpresi dai Carabinieri a giocare a basket presso un campetto del posto, nonostante nei giorni precedenti fossero stati redarguiti per dei comportamenti analoghi.I cinque sono dunque stati denunciati per la mancata osservanza del decreto, ai sensi dell’articolo 650 del Codice Penale. Essi dovranno inoltre rispondere dell’accusa di danneggiamento in concorso per aver divelto alcuni cartelli posti all’ingresso dell’impianto sportivo dove sono stati colti in flagranza di reato.;2020-03-12; Marche Notizie;['Decreti'];https://www.pesarourbinonotizie.it/43124/giocano-a-basket-nonostante-il-divieto-di-assembramenti-denunciati-cinque-giovani-a-lunano;www.pesarourbinonotizie.it;['marche']
28158;Aggredisce la moglie a colpi di martello, 70enne tratto in arresto a Vallefoglia;Un 70enne di origini campane è stato arrestato a Vallefoglia nella mattinata di giovedì 12 marzo con l’accusa di tentato omicidio nei confronti della moglie.Il fatto ha avuto luogo intorno alle 7.30 in località Sant’Angelo in Lizzola. Armato di un martello, l’uomo si è avventato contro la coniuge, colpendola più volte alla testa. Egli è stato bloccato dal provvidenziale intervento della nuora e della nipote, che nel tentativo di frapporsi tra marito e moglie sono rimaste lievemente ferite.La vittima dell’aggressione è quindi stata soccorsa dal personale sanitario del 118, che si è occupato del suo trasporto in ospedale: le sue condizioni di salute, fortunatamente, non ne metterebbero a repentaglio la vita. Per il 70enne è invece scattato l‘arresto da parte dei Carabinieri di Montecchio intervenuti sul posto.;2020-03-13; Marche Notizie;['Arresti', 'Vallefoglia', 'Omicidi'];https://www.pesarourbinonotizie.it/43137/aggredisce-la-moglie-a-colpi-di-martello-70enne-tratto-in-arresto-a-vallefoglia;www.pesarourbinonotizie.it;['marche']
30775;Incendio nella notte a Pesaro, evacuata una famiglia dalla propria abitazione;Paura a Pesaro nella notte tra giovedì 19 e venerdì 20 marzo per il violento incendio che si è verificato all’interno di due garage.Il fatto ha avuto luogo presso un edificio situato in via Monte Amiata, nella frazione di Borgo Santa Maria. Il rogo ha avuto origine per cause tuttora sconosciute, devastando le due automobili posteggiate nei rispettivi box e arrivando persino a lambire l’appartamento situato al piano superiore.Sul posto sono così sopraggiunti i Vigili del Fuoco del distaccamento di Pesaro, i quali sono riusciti ad avere la meglio sul rogo limitando i danni ai soli garage e alla suddetta abitazione: i tre locali sono poi stati dichiarati inagibili per via dei danni riportati, costringendo pertanto una famiglia all’evacuazione.;2020-03-20; Marche Notizie;['Incendi', 'Marche', 'Pesaro'];https://www.pesarourbinonotizie.it/43226/incendio-nella-notte-a-pesaro-evacuata-una-famiglia-dalla-propria-abitazione;www.pesarourbinonotizie.it;['marche']
33273;Controlli serrati della Polizia Stradale sullA-14, denunciate tre persone;Tra il pomeriggio di martedì 24 e la mattinata di mercoledì 25 marzo, la Polizia Stradale di Pesaro e Ancona ha proceduto a dei controlli sistematici lungo l’autostrada A14, attraverso un posto di blocco installato nell’area di servizio “Metauro ovest“.Ben 36 gli agenti che, dopo aver convogliato sul posto l’intero flusso del traffico, hanno passato in rassegna le autocertificazioni presentate da camionisti e automobilisti fermati per l’occasione.Gli accertamenti in questione hanno riguardato 224 persone e hanno portato alla denuncia di tre di loro, i quali non hanno saputo rilasciare motivazioni valide per i loro spostamenti: essi dovranno quindi rispondere del mancato rispetto delle norme in vigore per contrastare l’emergenza sanitaria dovuta alla diffusione del Coronavirus.;2020-03-26; Marche Notizie;['Polizia Stradale', 'Polizia', 'Marche', 'Pesaro', 'Ancona'];https://www.pesarourbinonotizie.it/43314/controlli-serrati-della-polizia-stradale-sulla-14-denunciate-tre-persone;www.pesarourbinonotizie.it;['marche']
34856;Spaccio di hashish e marijuana, denunciati due giovani di Macerata Feltria;Durante la scorsa settimana i Carabinieri del comando di Macerata Feltria hanno denunciato due giovani poco più che ventenni, sorpresi in possesso di una consistente quantità di stupefacenti.Protagonisti della vicenda un ragazzo di 23 anni e una giovane di 22, entrambi incensurati e residenti presso la stessa abitazione. Venuti a conoscenza dell’attività illecita intrapresa dai due, i militari hanno dato inizio a una serie di pedinamenti e appostamenti nei loro confronti, provvedendo infine a perquisire la loro casa.Qui sono stati rinvenuti oltre 150 grammi tra hashish e marijuana, due piantine di cannabis, alcuni barattoli di fertilizzante e il materiale utilizzato per il confezionamento dei singoli quantitativi da vendere al dettaglio.Al termine del controllo, per i due giovani è scattata una denuncia per detenzione di sostanze stupefacenti ai fini di spaccio.;2020-03-30; Marche Notizie;['Droga', 'Marche', 'Macerata', 'Carabinieri'];https://www.pesarourbinonotizie.it/43356/spaccio-di-hashish-e-marijuana-denunciati-due-giovani-di-macerata-feltria;www.pesarourbinonotizie.it;['marche']
36585;Sfugge allalt dei Carabinieri e ne ferisce tre una volta fermato: in manette un 32enne;Un 32enne di nazionalità brasiliana è stato arrestato nella mattinata di giovedì 2 aprile nei pressi del confine regionale tra Marche ed Emilia-Romagna, che aveva attraversato poco prima forzando un posto di blocco.La vicenda ha avuto inizio intorno alle 11.30, quando il giovane, alla guida della propria automobile lungo la Statale Adriatica, non si è fermato all’alt dei Carabinieri, procedendo invece in direzione nord.Tallonato da diverse pattuglie dei militari, il 32enne ha deviato sulla Strada Provinciale 35, venendo però raggiunto all’altezza di una rotatoria nel territorio di Misano Adriatico. Qui, in seguito a un’improvvisa frenata, la sua vettura è stata tamponata dai Carabinieri, i quali sono dovuti intervenire in forze per vincere le resistenze dell’uomo, che in tal frangente ha ferito almeno tre di loro prima di essere reso inoffensivo grazie al ricorso allo spray al peperoncino.Il soggetto in questione, peraltro febbricitante al momento dell’arresto, è stato quindi posto agli arresti domiciliari con l’accusa di resistenza a pubblico ufficiale.;2020-04-3; Marche Notizie;['Carabinieri', 'Arresti', 'Emilia-Romagna'];https://www.pesarourbinonotizie.it/43402/sfugge-allalt-dei-carabinieri-e-ne-ferisce-tre-una-volta-fermato-in-manette-un-32enne;www.pesarourbinonotizie.it;['marche']
37683;Privo di patente scappa allalt dei Carabinieri, automobilista denunciato a Pesaro;Nella serata di domenica 5 aprile scattate tre diverse denunce a Pesaro nei confronti di un individuo di nazionalità cinese, sorpreso in automobile per le vie cittadine. Ad accorgersi di lui intorno alle ore 21.00 è stata una pattuglia dei Carabinieri che stava transitando lungo viale Trieste. All’alt delle forze dell’ordine, il conducente del mezzo non si è fermato e ha continuato la propria corsa, finendo quindi contro un palo al termine di un breve inseguimento.Sottoposto ai controlli del caso nonostante la sua pressoché nulla conoscenza della lingua italiana, l’uomo è stato trovato privo di patente, documento che non ha mai conseguito almeno in Italia, venendo perciò denunciato e sanzionato con una multa da 5.000 euro.Ulteriori denunce e sanzioni sono state dovute all’inosservanza dell’alt impostogli dai militari e del divieto di spostamento in atto per via della pandemia di Coronavirus.;2020-04-6; Marche Notizie;['Carabinieri', 'Marche', 'Pesaro'];https://www.pesarourbinonotizie.it/43410/privo-di-patente-scappa-allalt-dei-carabinieri-automobilista-denunciato-a-pesaro;www.pesarourbinonotizie.it;['marche']
38104;Rissa in strada a Gabicce Mare, i Carabinieri denunciano tre persone;Tre persone, coinvolte in un’accesa discussione nata con ogni probabilità per aver sfiorato un incidente stradale, sono state denunciate nella serata di domenica 5 aprile a Gabicce Mare.La lite, avvenuta lungo viale della Vittoria, ha visto contrapposti due giovani del posto di 27 e 26 anni e un 49enne di origini piemontesi, venuti infine alle mani dopo essersi ripetutamente insultati a vicenda.Ad avere la peggio è stato il più anziano tra i tre, il quale ha riportato la frattura della mandibola per via dei colpi ricevuti. I litiganti sono stati interrotti dall’arrivo dei Carabinieri, che li hanno denunciati per rissa, lesioni personali aggravate, per poi sanzionarli per il mancato rispetto delle norme atte a contrastare la diffusione del Coronavirus: nessuno dei tre ha infatti saputo fornire un motivo valido riguardo la propria presenza in strada.;2020-04-7; Marche Notizie;['Risse', 'Gabicce Mare', 'Carabinieri', 'Incidenti Stradali'];https://www.pesarourbinonotizie.it/43416/rissa-in-strada-a-gabicce-mare-i-carabinieri-denunciano-tre-persone;www.pesarourbinonotizie.it;['marche']
39610;Tentano di sfuggire ai Carabinieri con uno scooter rubato, denunciati due minori a Vallefoglia;Giovedì 9 aprile due ragazzi di 17 anni sono stati protagonisti di una serata alquanto movimentata a Vallefoglia, al termine della quale sono stati denunciati dai Carabinieri del distaccamento locale.I giovani, entrambi residenti nella frazione pesarese di Borgo Santa Maria, intorno alle 23.30 sono stati notati da una pattuglia mentre stavano procedendo ambedue privi di casco sul medesimo scooter.Alla vista delle forze dell’ordine, i due minori hanno tentato di far perdere le proprie tracce, non esitando a imboccare una rotatoria contromano pur di sfuggire ai militari. I loro sforzi si sono però risolti in un nulla di fatto, dato che la loro fuga si è conclusa in via Longa, dove sono caduti dal mezzo a due ruote a seguito di un impatto con il marciapiede. Successivamente al fermo dei giovani, i Carabinieri hanno scoperto che lo Scarabeo 50 Piaggio in loro possesso era stato rubato poco prima a un 44enne residente a Pesaro.Per i due è così scattata una denuncia per ricettazione e resistenza a pubblico ufficiale, provvedimenti ai quali vanno aggiunte le sanzioni sia per le molteplici infrazioni del Codice della Strada sia per il mancato rispetto delle normative anti-Coronavirus.;2020-04-10; Marche Notizie;['Carabinieri', 'Vallefoglia'];https://www.pesarourbinonotizie.it/43456/tentano-di-sfuggire-ai-carabinieri-con-uno-scooter-rubato-denunciati-due-minori-a-vallefoglia;www.pesarourbinonotizie.it;['marche']
40957;Rapinano un supermercato di Pergola, arrestati due cugini di 36 e 43 anni;Malviventi in azione a Pergola nel tardo pomeriggio di sabato 11 aprile: due uomini hanno infatti rapinato un supermercato, dandosi poi alla fuga con un bottino di alcune centinaia di euro.Il fatto si è verificato intorno all’orario di chiusura presso il punto vendita Coal situato in via Martiri della Libertà. L’unica dipendente al lavoro in quel momento è stata avvicinata da un individuo che, armato di pistola e col volto coperto da una mascherina, le ha intimato di consegnargli l’incasso giornaliero.Una volta messe le mani su circa 1.100 euro, l’uomo è quindi corso all’esterno del supermercato, fuggendo via a bordo di una Lancia Y condotta da un complice.Grazie alle riprese delle telecamere di sicurezza installate nei paraggi, in breve tempo i Carabinieri sono riusciti a risalire ai responsabili del colpo, due cugini di 36 e 43 anni già noti alle forze dell’ordine per alcuni precedenti. Rinvenuta e sequestrata l’arma – poi rivelatasi falsa – utilizzata per compiere il crimine.Entrambi sono quindi stati arrestati con l’accusa di concorso in rapina aggravata e porto abusivo d’armi: si trovano ora reclusi presso il carcere di Villa Fastiggi.;2020-04-14; Marche Notizie;['Arresti'];https://www.pesarourbinonotizie.it/43482/rapinano-un-supermercato-di-pergola-arrestati-due-cugini-di-36-e-43-anni;www.pesarourbinonotizie.it;['marche']
41453;Mostra documenti falsi al controllo dei Carabinieri, 47enne fanese arrestato a San Costanzo;Un 47enne di Fano, fermato per un controllo nel pomeriggio di lunedì 13 aprile, è stato tratto in arresto dai Carabinieri del distaccamento di San Costanzo.Intorno alle ore 16.00, l’uomo si stava recando a comprare le sigarette quando è stato intercettato da una pattuglia dei militari, impegnati a garantire il rispetto delle norme anti-Coronavirus durante la Pasquetta.Dopo aver presentato l’apposita autocertificazione, il 47enne ha poi fornito alle forze dell’ordine una patente e un documento d’identità rilasciati dalla Croazia, documenti che al termine di un attento esame sono risultati essere falsi.Ulteriori controlli hanno poi fatto emergere come egli fosse stato privato della patente nel 2017 per via di ripetute violazioni al Codice della Strada. Arrestato per aver presentato atti falsificati ai Carabinieri, l’uomo è quindi stato processato per direttissima nella mattinata di martedì 14 aprile, venendo condannato a un anno e quattro mesi di reclusione.;2020-04-15; Marche Notizie;['Carabinieri', 'Arresti', 'Marche', 'Fano'];https://www.pesarourbinonotizie.it/43492/mostra-documenti-falsi-al-controllo-dei-carabinieri-47enne-fanese-arrestato-a-san-costanzo;www.pesarourbinonotizie.it;['marche']
