;title;content;date;author;tags;url;website-domain;region
21367;Monteprandone, giovane cade in scooter sulla Salaria: interviene leliambulanza;Un ragazzo di 18 anni è rimasto ferito in maniera grave in seguito a un incidente stradale verificatosi a Monteprandone nella serata di lunedì 9 marzo.Secondo quanto ricostruito, il giovane stava percorrendo la via Salaria in sella al proprio scooter quando, forse a causa di un dosso artificiale, ha perso il controllo del veicolo, finendo così rovinosamente sull’asfalto.A seguito dell’allarme lanciato da alcuni automobilisti in transito, sul posto sono accorsi i sanitari del 118, che dopo aver prestato al 18enne le prime cure del caso ne hanno disposto il trasporto all’ospedale “Madonna del Soccorso” di San Benedetto del Tronto. Da qui il ragazzo è stato infine condotto in eliambulanza all’ospedale regionale di Torrette di Ancona per via della gravità delle lesioni riportate nella caduta.;2020-03-11; Marche Notizie;['Monteprandone', 'Incidenti Stradali'];https://www.ascolinotizie.it/34074/monteprandone-giovane-cade-in-scooter-sulla-salaria-interviene-leliambulanza;www.ascolinotizie.it;['marche']
23107;Spaccio nelle strade di San Benedetto del Tronto, tre le persone tratte in arresto;Tre persone sono state tratte in arresto nel corso dell’ultimo fine settimana a San Benedetto del Tronto con l’accusa di detenzione di stupefacenti ai fini di spaccio.A finire in manette sono stati due fratelli di origini campane di 58 e 52 anni e una 54enne del posto, compagna di uno di loro. I Carabinieri del comando locale hanno dapprima fermato nei pressi della Statale Adriatica uno dei due uomini, che ha dichiarato loro di essere diretto in una vicina farmacia sebbene privo di ricetta. Una volta rincasato, egli ha tentato invano di disfarsi della droga in suo possesso, venendo però bloccato dai militari.Quest’ultimi sono così riusciti a mettere le mani su all’incirca 150 grammi tra cocaina e eroina, che se immessi sul mercato avrebbero fruttato un guadagno stimabile in oltre 20.000 euro. Per i tre soggetti in questione è scattato inevitabilmente l’arresto.;2020-03-16; Marche Notizie;['Marche', 'San Benedetto Del Tronto', 'Gianfranco Fini'];https://www.ascolinotizie.it/34125/spaccio-nelle-strade-di-san-benedetto-del-tronto-tre-le-persone-tratte-in-arresto;www.ascolinotizie.it;['marche']
25950;Controlli della Polizia tra Ascoli Piceno e San Benedetto, un arresto e due denunce;Nel corso del fine settimana appena trascorso i controlli della Polizia di Stato di Ascoli Piceno e San Benedetto del Tronto hanno condotto a un arresto e a due denunce.A finire in manette è stato un 45enne di nazionalità marocchina, sorpreso dagli agenti nella serata di sabato 21 marzo all’esterno di un minimarket di piazza Garibaldi. Gli accertamenti svolti nei confronti di tale individuo hanno evidenziato come egli fosse ricercato da un mese su indicazione della Procura della Repubblica di Pescara: i poliziotti hanno così messo in atto il provvedimento di carcerazione emanato a suo carico, trasferendolo poi nel carcere di Marino del Tronto, dove dovrà scontare una condanna a sei mesi di reclusione per aver partecipato a una rissa nel capoluogo abruzzese.Ventiquattr’ore prima, a Porto d’Ascoli, un 30enne del luogo era stato denunciato per non aver rispettato le misure di contenimento anti-Coronavirus, in quanto sorpreso per strada senza un motivo valido.Sempre nella giornata di sabato, invece, un 27enne ascolano è stato denunciato per minacce a seguito di una furibonda lite familiare. Gli agenti sono intervenuti presso l’abitazione da lui condivisa con la madre, una donna di 58 anni in regime di arresti domiciliari, riscontrando gravi danni provocati dal giovane a mobili e infissi mediante l’utilizzo di un lungo coltello. Oltre all’arma in questione, all’interno dell’appartamento la Polizia ha inoltre rinvenuto e posto sotto sequestro altre lame potenzialmente pericolose.;2020-03-23; Marche Notizie;['Polizia', 'Marche', 'Ascoli Piceno', 'San Benedetto Del Tronto'];https://www.ascolinotizie.it/34223/controlli-della-polizia-tra-ascoli-piceno-e-san-benedetto-un-arresto-e-due-denunce;www.ascolinotizie.it;['marche']
26437;San Benedetto del Tronto, tatuatore abusivo di 23 anni denunciato dai Carabinieri;Continuano nel Piceno i controlli delle forze dell’ordine tesi a evitare la diffusione del contagio da Coronavirus: a San Benedetto del Tronto, nella giornata di lunedì 23 marzo, i Carabinieri si sono imbattuti in un tatuatore che esercitava abusivamente la propria attività.La scoperta è stata fatta presso un’abitazione del centro, nei pressi della quale i militari avevano notato un insolito viavai: una volta penetrati all’interno dell’edificio, essi si sono così trovati di fronte un 23enne del posto, il quale aveva dato vita a un proprio studio di tatuaggi benché privo di qualsiasi tipo di autorizzazione.I Carabinieri hanno immediatamente posto sotto sequestro ogni sorta di materiale adoperato dal giovane tatuatore, poi denunciato per esercizio abusivo della professione e per il mancato rispetto delle norme anti-Coronavirus: anche i suoi quattro clienti sorpresi nel locale al momento del blitz dovranno rispondere di quest’ultima accusa.;2020-05-11; Marche Notizie;['Marche', 'San Benedetto Del Tronto', 'Tatuaggi', 'Carabinieri'];https://www.ascolinotizie.it/34245/san-benedetto-del-tronto-tatuatore-abusivo-di-23-anni-denunciato-dai-carabinieri;www.ascolinotizie.it;['marche']
27318;Monteprandone, giovane cade in scooter sulla Salaria: interviene leliambulanza;Un ragazzo di 18 anni è rimasto ferito in maniera grave in seguito a un incidente stradale verificatosi a Monteprandone nella serata di lunedì 9 marzo.Secondo quanto ricostruito, il giovane stava percorrendo la via Salaria in sella al proprio scooter quando, forse a causa di un dosso artificiale, ha perso il controllo del veicolo, finendo così rovinosamente sull’asfalto.A seguito dell’allarme lanciato da alcuni automobilisti in transito, sul posto sono accorsi i sanitari del 118, che dopo aver prestato al 18enne le prime cure del caso ne hanno disposto il trasporto all’ospedale “Madonna del Soccorso” di San Benedetto del Tronto. Da qui il ragazzo è stato infine condotto in eliambulanza all’ospedale regionale di Torrette di Ancona per via della gravità delle lesioni riportate nella caduta.;2020-03-11; Marche Notizie;['Monteprandone', 'Incidenti Stradali'];https://www.ascolinotizie.it/34074/monteprandone-giovane-cade-in-scooter-sulla-salaria-interviene-leliambulanza;www.ascolinotizie.it;['marche']
29077;Spaccio nelle strade di San Benedetto del Tronto, tre le persone tratte in arresto;Tre persone sono state tratte in arresto nel corso dell’ultimo fine settimana a San Benedetto del Tronto con l’accusa di detenzione di stupefacenti ai fini di spaccio.A finire in manette sono stati due fratelli di origini campane di 58 e 52 anni e una 54enne del posto, compagna di uno di loro. I Carabinieri del comando locale hanno dapprima fermato nei pressi della Statale Adriatica uno dei due uomini, che ha dichiarato loro di essere diretto in una vicina farmacia sebbene privo di ricetta. Una volta rincasato, egli ha tentato invano di disfarsi della droga in suo possesso, venendo però bloccato dai militari.Quest’ultimi sono così riusciti a mettere le mani su all’incirca 150 grammi tra cocaina e eroina, che se immessi sul mercato avrebbero fruttato un guadagno stimabile in oltre 20.000 euro. Per i tre soggetti in questione è scattato inevitabilmente l’arresto.;2020-03-16; Marche Notizie;['Marche', 'San Benedetto Del Tronto', 'Gianfranco Fini'];https://www.ascolinotizie.it/34125/spaccio-nelle-strade-di-san-benedetto-del-tronto-tre-le-persone-tratte-in-arresto;www.ascolinotizie.it;['marche']
31942;Controlli della Polizia tra Ascoli Piceno e San Benedetto, un arresto e due denunce;Nel corso del fine settimana appena trascorso i controlli della Polizia di Stato di Ascoli Piceno e San Benedetto del Tronto hanno condotto a un arresto e a due denunce.A finire in manette è stato un 45enne di nazionalità marocchina, sorpreso dagli agenti nella serata di sabato 21 marzo all’esterno di un minimarket di piazza Garibaldi. Gli accertamenti svolti nei confronti di tale individuo hanno evidenziato come egli fosse ricercato da un mese su indicazione della Procura della Repubblica di Pescara: i poliziotti hanno così messo in atto il provvedimento di carcerazione emanato a suo carico, trasferendolo poi nel carcere di Marino del Tronto, dove dovrà scontare una condanna a sei mesi di reclusione per aver partecipato a una rissa nel capoluogo abruzzese.Ventiquattr’ore prima, a Porto d’Ascoli, un 30enne del luogo era stato denunciato per non aver rispettato le misure di contenimento anti-Coronavirus, in quanto sorpreso per strada senza un motivo valido.Sempre nella giornata di sabato, invece, un 27enne ascolano è stato denunciato per minacce a seguito di una furibonda lite familiare. Gli agenti sono intervenuti presso l’abitazione da lui condivisa con la madre, una donna di 58 anni in regime di arresti domiciliari, riscontrando gravi danni provocati dal giovane a mobili e infissi mediante l’utilizzo di un lungo coltello. Oltre all’arma in questione, all’interno dell’appartamento la Polizia ha inoltre rinvenuto e posto sotto sequestro altre lame potenzialmente pericolose.;2020-03-23; Marche Notizie;['Polizia', 'Marche', 'Ascoli Piceno', 'San Benedetto Del Tronto'];https://www.ascolinotizie.it/34223/controlli-della-polizia-tra-ascoli-piceno-e-san-benedetto-un-arresto-e-due-denunce;www.ascolinotizie.it;['marche']
32309;San Benedetto del Tronto, tatuatore abusivo di 23 anni denunciato dai Carabinieri;Continuano nel Piceno i controlli delle forze dell’ordine tesi a evitare la diffusione del contagio da Coronavirus: a San Benedetto del Tronto, nella giornata di lunedì 23 marzo, i Carabinieri si sono imbattuti in un tatuatore che esercitava abusivamente la propria attività.La scoperta è stata fatta presso un’abitazione del centro, nei pressi della quale i militari avevano notato un insolito viavai: una volta penetrati all’interno dell’edificio, essi si sono così trovati di fronte un 23enne del posto, il quale aveva dato vita a un proprio studio di tatuaggi benché privo di qualsiasi tipo di autorizzazione.I Carabinieri hanno immediatamente posto sotto sequestro ogni sorta di materiale adoperato dal giovane tatuatore, poi denunciato per esercizio abusivo della professione e per il mancato rispetto delle norme anti-Coronavirus: anche i suoi quattro clienti sorpresi nel locale al momento del blitz dovranno rispondere di quest’ultima accusa.;2020-03-24; Marche Notizie;['Marche', 'San Benedetto Del Tronto', 'Tatuaggi', 'Carabinieri'];https://www.ascolinotizie.it/34245/san-benedetto-del-tronto-tatuatore-abusivo-di-23-anni-denunciato-dai-carabinieri;www.ascolinotizie.it;['marche']
32757;Tenta un furto in un supermercato di Ascoli Piceno, denunciato un giovane;Nel pomeriggio di martedì 24 marzo i Carabinieri di Ascoli Piceno hanno denunciato un giovane del luogo, responsabile del furto di alcuni articoli presso un supermercato del capoluogo.L’individuo in questione, dopo essersi recato nel punto vendita Tigre situato in piazza Santa Maria Intervineas, ha raccolto dagli scaffali diversi prodotti in esposizione, dirigendosi quindi verso le casse: tuttavia, al momento di pagare, egli è scappato a gambe levate dal negozio, venendo inseguito da un addetto alla sicurezza.Immediata la segnalazione dell’accaduto ai Carabinieri, i quali hanno successivamente individuato il ladro nei pressi della via Salaria. Il giovane ha tentato invano di sottrarsi alle forze dell’ordine, venendo però rapidamente bloccato: egli dovrà ora rispondere dell’accusa di furto aggravato e resistenza a pubblico ufficiale.;2020-03-25; Marche Notizie;['Marche', 'Ascoli Piceno', 'Carabinieri'];https://www.ascolinotizie.it/34263/tenta-un-furto-in-un-supermercato-di-ascoli-piceno-denunciato-un-giovane;www.ascolinotizie.it;['marche']
33677;Castignano, evade dai domiciliari ma viene fermato dai controlli anti-Coronavirus;Nei giorni scorsi i Carabinieri di Castignano hanno tratto un arresto un 58enne del posto, sorpreso a vagare per strada nonostante fosse in regime di arresti domiciliari. L’individuo in questione, P.G. le sue iniziali, si sarebbe infatti dovuto trovare all’interno della propria abitazione per via di una condanna pregressa. Egli non ha però rispettato la misura restrittiva applicata nei suoi confronti, venendo sorpreso dalle forze dell’ordine nell’ambito dei controlli condotti per arginare la diffusione del Coronavirus.L’uomo è stato infine trasferito nel carcere ascolano di Marino del Tronto, in applicazione di un provvedimento di carcerazione emanato nel frattempo dal Tribunale di sorveglianza di Macerata.;2020-03-27; Marche Notizie;['Arresti Domiciliari', 'Carabinieri', 'Arresti'];https://www.ascolinotizie.it/34294/castignano-evade-dai-domiciliari-ma-viene-fermato-dai-controlli-anti-coronavirus;www.ascolinotizie.it;['marche']
36584;San Benedetto, scappa con il figlio sottratto allex-moglie: denunciato;Nei giorni scorsi la Polizia di Stato di San Benedetto del Tronto ha rintracciato e denunciato un uomo che, dopo essersi recato presso l’abitazione della moglie dalla quale si stava separando, si era allontanato con uno dei due figli.L’individuo in questione, già gravato da un provvedimento di divieto di avvicinamento nei confronti dell’ex, ha fatto perdere le proprie tracce per alcune ore. I poliziotti tuttavia, allertati proprio dalla coniuge dell’uomo, hanno condotto ricerche minuziose nell’intera provincia di Ascoli, riuscendo infine a rintracciare padre e figlio all’interno di un’autovettura.Il protagonista della vicenda è stato così denunciato per sottrazione di minore e atti persecutori: disposto inoltre un inasprimento delle misure precedentemente applicate a suo carico.;2020-04-3; Marche Notizie;['Marche', 'San Benedetto Del Tronto', 'Polizia'];https://www.ascolinotizie.it/34367/san-benedetto-scappa-con-il-figlio-sottratto-allex-moglie-denunciato;www.ascolinotizie.it;['marche']
42343;Aggressione ai danni della convivente, 23enne finisce in manette a Grottammare;Nella notte tra martedì 14 e mercoledì 15 aprile, i Carabinieri di San Benedetto del Tronto sono intervenuti presso un’abitazione di Grottammare in seguito alla richiesta di soccorso di una donna.Quest’ultima, infatti, è stata vittima di una brutale aggressione da parte del convivente, un 23enne di origini campane, il quale è stato colto sul fatto dai militari accorsi sul posto.Dopo aver bloccato il giovane, le forze dell’ordine hanno affidato la vittima delle violenze al personale sanitario del 118: la giovane è stata poi condotta per accertamenti presso l’ospedale “Mazzoni” di Ascoli Piceno, dove le sarebbero state riscontrate lesioni plurime al volto e alla testa.Secondo quanto da lei raccontato, altri episodi analoghi si sarebbero verificati nel corso degli ultimi mesi. Per il 23enne è infine scattato l’arresto con l’accusa di maltrattamenti in famiglia, lesioni e minacce e il conseguente trasferimento presso il carcere di Fermo.;2020-04-17; Marche Notizie;['Marche', 'Grottammare', 'Carabinieri', 'San Benedetto Del Tronto'];https://www.ascolinotizie.it/34476/aggressione-ai-danni-della-convivente-23enne-finisce-in-manette-a-grottammare;www.ascolinotizie.it;['marche']
44021;Spaccio di sostanze stupefacenti, due arresti tra San Benedetto e Grottammare;Al termine di lunghe indagini portate avanti nell’arco di diversi mesi, due spacciatori sono stati tratti in arresto tra Grottammare e San Benedetto del Tronto.A far scattare le manette ai polsi dei due individui in questione, un 32enne di Grottammare e una 30enne russa residente a San Benedetto, sono stati gli agenti della Polizia di Stato di Ascoli Piceno, i quali si erano messi al lavoro sull’attività illecita dei due pusher a partire da un caso di overdose verificatosi a San Benedetto nei mesi scorsi.Dopo numerosi appostamenti e pedinamenti, i poliziotti hanno infine arrestato i due giovani, dediti al traffico di sostanze stupefacenti in diverse località del Piceno: in tal frangente, gli spacciatori ricorrevano a un determinato “linguaggio in codice” per comunicare tra di loro e con i numerosi clienti.Infine, su indicazione del Gip del Tribunale di Ascoli Piceno, il 32enne è stato posto agli arresti domiciliari, mentre la sua complice non potrà invece allontanarsi da San Benedetto del Tronto.;2020-04-21; Marche Notizie;['Droga', 'Arresti', 'Marche', 'San Benedetto Del Tronto', 'Grottammare', 'Inchieste-investigazioni-indagini'];https://www.ascolinotizie.it/34501/spaccio-di-sostanze-stupefacenti-due-arresti-tra-san-benedetto-e-grottammare;www.ascolinotizie.it;['marche']
44514;Acquaviva Picena, automobilista in ospedale in seguito a un incidente stradale;Soccorritori in azione nella mattinata di martedì 21 aprile nelle vicinanze di Acquaviva Picena, dove un anziano di 77 anni è rimasto ferito dopo essere uscito di strada al volante della propria vettura.Intorno alle ore 9.00 l’uomo stava percorrendo la strada Panoramica in direzione di San Benedetto del Tronto quando, per cause sconosciute, egli ha perso il controllo dell’automobile, finendo dapprima contro un muro e successivamente in un fossato adiacente alla sede stradale.Il 77enne, rimasto ferito seppure fortunatamente non in maniera grave, è stato quindi soccorso dal personale sanitario del 118, che dopo avergli prestato le prime cure ne ha disposto il trasferimento presso l’ospedale “Mazzoni” di Ascoli Piceno.;2020-04-22; Marche Notizie;['Incidenti Stradali'];https://www.ascolinotizie.it/34509/acquaviva-picena-automobilista-in-ospedale-in-seguito-a-un-incidente-stradale;www.ascolinotizie.it;['marche']
46945;San Benedetto, trovato in mare il cadavere di una donna di 60 anni;Tragica scoperta a San Benedetto del Tronto nel primo pomeriggio di martedì 28 aprile: il corpo senza vita di una donna di 60 anni è stato infatti rinvenuto in mare nei pressi del porto.La vittima, Clementina Di Marco, risiedeva a Tortoreto ed era solita recarsi in città per portare avanti la propria attività di venditrice ambulante assieme al marito.Il suo cadavere è stato avvistato intorno alle ore 13.00 a pochi metri dalla costa. A nulla è valso il tempestivo soccorso di Guardia Costiera, Guardia di Finanza e Vigili del Fuoco, che non hanno potuto fare altro che constatare il decesso della donna.Dato che il corpo non presenterebbe tracce di violenza, resta ancora da appurare se si sia trattato di suicidio o di una tragica fatalità.;2020-04-29; Marche Notizie;['Marche', 'San Benedetto Del Tronto', 'Tortoreto'];https://www.ascolinotizie.it/34554/san-benedetto-trovato-in-mare-il-cadavere-di-una-donna-di-60-anni;www.ascolinotizie.it;['marche']
49184;Picconi nel bagagliaio dellauto, denunciati due 33enni a San Benedetto del Tronto;Nel corso dei controlli condotti nella giornata di sabato 2 maggio, la Polizia di Stato di San Benedetto del Tronto ha denunciato a piede libero un uomo e una donna, entrambi 33enne, in quanto sorpresi in possesso di due attrezzi da lavoro.La coppia, originaria dell’Europa dell’est, è stata fermata sul lungomare Marconi a bordo di una Seat Ibiza. I due non hanno saputo fornire una motivazione valida per giustificare il loro spostamento, cosicché gli agenti hanno deciso di passare al setaccio la loro automobile.Nel bagagliaio della vettura i poliziotti hanno così rinvenuto due picconi, arnesi che sono poi stati posti sotto sequestro. Incapaci di chiarire a cosa servissero gli attrezzi in questione, i due 33enni sono quindi stati denunciati per porto abusivo di armi od oggetti atti a offendere.;2020-05-5; Marche Notizie;['Marche', 'San Benedetto Del Tronto', 'Polizia', 'Lavoro'];https://www.ascolinotizie.it/34597/picconi-nel-bagagliaio-dellauto-denunciati-due-33enni-a-san-benedetto-del-tronto;www.ascolinotizie.it;['marche']
