author,content,date,tags,title,url,website-domain
 La Repubblica,"

Fermata dai carabinieri si difende: ""Sto provvedendo al mio sostentamento"" Articolo completo »   Commenti »
 Emilia-Romagna Ravenna Carabinieri

",2020-03-15,"['Emilia-Romagna', 'Ravenna', 'Carabinieri']","Coronavirus, prostituta denunciata due volte a Ravenna: ""Sto lavorando anche io""",https://bologna.repubblica.it/cronaca/2020/03/15/news/coronavirus_prostituta_denunciata_due_volte_a_ravenna_sto_lavorando_anche_io_-251346477/?rss,bologna.repubblica.it
 La Repubblica,"



L'associazione Avvocato di strada chiede ai sindaci di tenere ancora aperti gli spazi che ospitano i clochard durante l'inverno Articolo completo »   Commenti »
 Avvocati

",2020-03-16,['Avvocati'],"Coronavirus, la denuncia: ""Multati anche i senzatetto, che non possono stare a casa perché non ce...",https://bologna.repubblica.it/cronaca/2020/03/16/news/coronavirus_la_denuncia_multati_anche_i_senzatetto_che_non_possono_stare_a_casa_perche_non_ce_l_hanno_-251436619/?rss,bologna.repubblica.it
 La Repubblica,"

Era partito il 24 febbraio. La nave di Costa crociere è ora in sosta tecnica a Tenerife: ""Implementati i protocolli sanitari"" Articolo completo »   Commenti »
 Crociere Costa Crociere Tenerife (Viaggi)

",2020-03-16,"['Crociere', 'Costa Crociere', 'Tenerife (Viaggi)']",Modenese muore di coronavirus a Cayman: era in crociera con la moglie,https://bologna.repubblica.it/cronaca/2020/03/16/news/coronavirus_vittima_cayman-251417853/?rss,bologna.repubblica.it
 La Repubblica,"

La donna si è difesa; prognosi di 30 giorni. L'uomo deve rispondere di tentato omicidio Articolo completo »   Commenti »
 Emilia-Romagna Bologna Omicidi

",2020-03-17,"['Emilia-Romagna', 'Bologna', 'Omicidi']","Bologna, cerca di uccidere la ex al centro commerciale, accoltellandola al volto",https://bologna.repubblica.it/cronaca/2020/03/17/news/borgo_tossignano-251506325/?rss,bologna.repubblica.it
 La Repubblica,"

L'invito ad osservarlo stasera alle 20.15. Le celebrazioni annullate per l'emergenza coronavirus. Il ricordo del figlio Lorenzo: ""Non perdono gli assassini e le istituzioni che lo lasciarono solo"". Bonaccini scrive alla moglie Marina Orlandi:... Articolo completo »   Commenti »
 Omicidi

",2020-03-19,['Omicidi'],"Un minuto di silenzio per Marco Biagi, ucciso dalle Br 18 anni fa",https://bologna.repubblica.it/cronaca/2020/03/19/news/un_minuto_di_silenzio_per_marco_biagi_ucciso_dalle_br_18_anni-251669253/?rss,bologna.repubblica.it
 La Repubblica,"

L'istituto Cervi: ""Il filo della memoria va tenuto più stretto proprio adesso, mentre si spengono molte voci del nostro passato"". Il suo racconto di quella giornata storica: ""C'era il sole. Quanta gente, era piena la piazza, perché la gente aveva... Articolo completo »   Commenti »


",2020-05-11,[],"E' morta Eletta Bigi, la partigiana ""Sonia"": l'ultima testimone della pastasciutta a casa Cervi",https://bologna.repubblica.it/cronaca/2020/03/23/news/eletta_bigi_ultima_testimone_pastasciutta_casa_cervi-252107334/?rss,bologna.repubblica.it
 La Repubblica,"

Nelio Pavesi aveva 68 anni ed era ricoverato da alcuni giorni Articolo completo »   Commenti »
 Emilia-Romagna Piacenza

",2020-03-10,"['Emilia-Romagna', 'Piacenza']","Coronavirus, morto consigliere comunale della Lega di Piacenza",https://bologna.repubblica.it/cronaca/2020/03/10/news/coronavirus_morto_consigliere_comunale_della_lega-250848027/?rss,bologna.repubblica.it
 La Repubblica,"

La vittima aveva 41 anni e lavorava in un'azienda del settore carni di Carpi. Sindacati in sciopero: ""Non è una fatalità"" Articolo completo »   Commenti »
 Emilia-Romagna Modena Lavoro Carpi Sindacati Scioperi

",2020-03-11,"['Emilia-Romagna', 'Modena', 'Lavoro', 'Carpi', 'Sindacati', 'Scioperi']","Modena, un morto sul lavoro: incastrato negli ingranaggi di un macello",https://bologna.repubblica.it/cronaca/2020/03/11/news/modena_un_morto_sul_lavoro_incastrato_negli_ingranaggi-250932610/?rss,bologna.repubblica.it
 La Repubblica,"

Sul banco degli imputati un coetaneo del ragazzo ucciso e gettato in un pozzo Articolo completo »   Commenti »
 Omicidi

",2020-03-11,['Omicidi'],"Omicidio del 16enne Giuseppe Balboni, in appello arriva uno sconto di pena",https://bologna.repubblica.it/cronaca/2020/03/11/news/omicidio_balboni-250943768/?rss,bologna.repubblica.it
 La Repubblica,"

Il cadavere è di un nigeriano di 33 anni Articolo completo »   Commenti »
 Ferrara Omicidi

",2020-03-12,"['Ferrara', 'Omicidi']","Ferrara, trovato morto lungo il bordo della statale Adriatica: ipotesi omicidio",https://bologna.repubblica.it/cronaca/2020/03/12/news/trovato_morto_lungo_il_bordo_della_strada_ipotesi_omicidio-251054489/?rss,bologna.repubblica.it
